timestamp target_q_0 target_q_1 target_q_2 target_q_3 target_q_4 target_q_5 target_qd_0 target_qd_1 target_qd_2 target_qd_3 target_qd_4 target_qd_5 target_qdd_0 target_qdd_1 target_qdd_2 target_qdd_3 target_qdd_4 target_qdd_5
0.424 0.11557028571428572 0.10272914285714285 0.089888 0.07704685714285714 -0.06420571428571428 0.0012841142857142858 0.5451428571428572 0.48457142857142854 0.424 0.3634285714285714 -0.3028571428571429 0.006057142857142857 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.432 0.11997257142857143 0.1066422857142857 0.09331199999999999 0.07998171428571428 -0.06665142857142857 0.0013330285714285713 0.5554285714285715 0.49371428571428566 0.432 0.3702857142857143 -0.30857142857142855 0.006171428571428572 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.44 0.12445714285714286 0.11062857142857142 0.0968 0.08297142857142857 -0.06914285714285714 0.001382857142857143 0.5657142857142857 0.5028571428571428 0.44 0.3771428571428571 -0.3142857142857143 0.006285714285714286 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.448 0.12902400000000003 0.11468800000000001 0.10035200000000001 0.08601600000000001 -0.07168000000000001 0.0014336000000000004 0.5760000000000001 0.512 0.448 0.384 -0.32 0.0064 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.456 0.13367314285714288 0.11882057142857143 0.103968 0.08911542857142857 -0.07426285714285714 0.001485257142857143 0.5862857142857143 0.5211428571428571 0.456 0.39085714285714285 -0.32571428571428573 0.0065142857142857155 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.464 0.13840457142857146 0.12302628571428571 0.10764800000000001 0.09226971428571429 -0.07689142857142858 0.0015378285714285718 0.5965714285714286 0.5302857142857142 0.464 0.3977142857142857 -0.33142857142857146 0.00662857142857143 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.472 0.14321828571428574 0.12730514285714287 0.11139200000000002 0.09547885714285716 -0.0795657142857143 0.0015913142857142861 0.606857142857143 0.5394285714285715 0.47200000000000003 0.4045714285714286 -0.3371428571428572 0.006742857142857144 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.48 0.14811428571428573 0.13165714285714283 0.1152 0.09874285714285713 -0.08228571428571428 0.0016457142857142857 0.6171428571428572 0.5485714285714285 0.48 0.41142857142857137 -0.34285714285714286 0.006857142857142858 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.488 0.15309257142857144 0.1360822857142857 0.119072 0.10206171428571428 -0.08505142857142857 0.0017010285714285716 0.6274285714285714 0.5577142857142857 0.488 0.41828571428571426 -0.3485714285714286 0.006971428571428572 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.496 0.15815314285714285 0.14058057142857142 0.12300799999999999 0.10543542857142855 -0.08786285714285715 0.001757257142857143 0.6377142857142858 0.5668571428571428 0.496 0.4251428571428571 -0.3542857142857143 0.007085714285714286 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.504 0.16329600000000002 0.145152 0.127008 0.108864 -0.09072000000000001 0.0018144000000000003 0.648 0.576 0.504 0.432 -0.36 0.007200000000000001 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.512 0.16852114285714287 0.14979657142857142 0.131072 0.11234742857142856 -0.09362285714285715 0.001872457142857143 0.6582857142857144 0.5851428571428571 0.512 0.43885714285714283 -0.3657142857142857 0.007314285714285715 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.52 0.17382857142857147 0.15451428571428572 0.13520000000000001 0.11588571428571429 -0.09657142857142859 0.0019314285714285718 0.6685714285714286 0.5942857142857143 0.52 0.44571428571428573 -0.37142857142857144 0.007428571428571429 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.528 0.17921828571428575 0.15930514285714287 0.13939200000000002 0.11947885714285715 -0.0995657142857143 0.001991314285714286 0.6788571428571429 0.6034285714285714 0.528 0.45257142857142857 -0.37714285714285717 0.007542857142857144 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.536 0.18469028571428575 0.16416914285714287 0.14364800000000003 0.12312685714285716 -0.1026057142857143 0.0020521142857142863 0.6891428571428573 0.6125714285714285 0.536 0.4594285714285714 -0.3828571428571429 0.007657142857142858 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.544 0.19024457142857146 0.16910628571428574 0.14796800000000002 0.1268297142857143 -0.10569142857142859 0.002113828571428572 0.6994285714285715 0.6217142857142858 0.544 0.4662857142857143 -0.3885714285714286 0.007771428571428572 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.552 0.1958811428571429 0.17411657142857143 0.15235200000000002 0.13058742857142858 -0.10882285714285715 0.0021764571428571433 0.7097142857142859 0.6308571428571429 0.552 0.47314285714285714 -0.39428571428571435 0.007885714285714288 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.56 0.20160000000000006 0.17920000000000003 0.15680000000000002 0.13440000000000002 -0.11200000000000002 0.0022400000000000007 0.7200000000000001 0.64 0.56 0.48000000000000004 -0.4 0.008000000000000002 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.568 0.20740114285714292 0.18435657142857145 0.16131200000000004 0.1382674285714286 -0.11522285714285717 0.0023044571428571434 0.7302857142857144 0.6491428571428571 0.5680000000000001 0.4868571428571429 -0.40571428571428575 0.008114285714285716 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.576 0.2132845714285715 0.18958628571428573 0.16588800000000004 0.1421897142857143 -0.1184914285714286 0.002369828571428572 0.7405714285714287 0.6582857142857144 0.5760000000000001 0.49371428571428577 -0.4114285714285715 0.00822857142857143 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.584 0.2192502857142857 0.19488914285714282 0.17052799999999999 0.14616685714285713 -0.12180571428571428 0.0024361142857142856 0.7508571428571429 0.6674285714285714 0.584 0.5005714285714286 -0.41714285714285715 0.008342857142857143 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.592 0.2252982857142857 0.2002651428571428 0.17523199999999997 0.1501988571428571 -0.12516571428571427 0.0025033142857142855 0.7611428571428571 0.6765714285714285 0.592 0.5074285714285713 -0.4228571428571428 0.008457142857142858 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.6 0.23142857142857143 0.20571428571428568 0.18 0.15428571428571428 -0.12857142857142856 0.0025714285714285717 0.7714285714285715 0.6857142857142856 0.6 0.5142857142857142 -0.42857142857142855 0.008571428571428572 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.608 0.23764114285714286 0.2112365714285714 0.184832 0.15842742857142855 -0.13202285714285714 0.002640457142857143 0.7817142857142858 0.6948571428571428 0.608 0.5211428571428571 -0.4342857142857143 0.008685714285714286 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.616 0.24393600000000004 0.216832 0.189728 0.162624 -0.13552 0.0027104000000000004 0.792 0.704 0.616 0.5279999999999999 -0.44 0.0088 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.624 0.2503131428571429 0.2225005714285714 0.194688 0.16687542857142856 -0.13906285714285715 0.0027812571428571433 0.8022857142857144 0.7131428571428571 0.624 0.5348571428571428 -0.44571428571428573 0.008914285714285715 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.632 0.25677257142857146 0.2282422857142857 0.199712 0.17118171428571427 -0.14265142857142857 0.0028530285714285716 0.8125714285714286 0.7222857142857142 0.632 0.5417142857142857 -0.45142857142857146 0.00902857142857143 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.64 0.2633142857142857 0.23405714285714285 0.2048 0.17554285714285714 -0.1462857142857143 0.0029257142857142863 0.822857142857143 0.7314285714285714 0.64 0.5485714285714286 -0.4571428571428572 0.009142857142857144 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.6461563 0.2683632814034998 0.2385451390253331 0.2087269966471665 0.17890885426899986 -0.1490907118908332 0.0029818142378166645 0.820486700543794 0.7293215115944834 0.6381563226451731 0.5469911336958626 -0.4558259447465522 0.009116518894931045 0.0 0.0 0.0 0.0 0.0 0.0 
0.6541563 0.2749271750078502 0.24437971111808898 0.2138322472283279 0.18328478333856676 -0.15273731944880561 0.0030547463889761127 0.820486700543794 0.7293215115944834 0.6381563226451731 0.5469911336958626 -0.4558259447465522 0.009116518894931045 0.0 0.0 0.0 0.0 0.0 0.0 
0.66215634 0.2814910686122005 0.2502142832108449 0.2189374978094893 0.18766071240813367 -0.15638392700677806 0.0031276785401355613 0.820486700543794 0.7293215115944834 0.6381563226451731 0.5469911336958626 -0.4558259447465522 0.009116518894931045 0.0 0.0 0.0 0.0 0.0 0.0 
0.6701563 0.2880549622165509 0.2560488553036007 0.22404274839065066 0.19203664147770055 -0.16003053456475047 0.0032006106912950095 0.820486700543794 0.7293215115944834 0.6381563226451731 0.5469911336958626 -0.4558259447465522 0.009116518894931045 0.0 0.0 0.0 0.0 0.0 0.0 
0.6781563 0.29461885582090125 0.2618834273963566 0.22914799897181207 0.19641257054726746 -0.16367714212272289 0.003273542842454458 0.820486700543794 0.7293215115944834 0.6381563226451731 0.5469911336958626 -0.4558259447465522 0.009116518894931045 0.0 0.0 0.0 0.0 0.0 0.0 
0.68615633 0.3011827494252516 0.26771799948911246 0.23425324955297344 0.20078849961683437 -0.1673237496806953 0.0033464749936139063 0.820486700543794 0.7293215115944834 0.6381563226451731 0.5469911336958626 -0.4558259447465522 0.009116518894931045 0.0 0.0 0.0 0.0 0.0 0.0 
0.69415635 0.307746643029602 0.27355257158186835 0.23935850013413484 0.20516442868640128 -0.17097035723866774 0.003419407144773355 0.820486700543794 0.7293215115944834 0.6381563226451731 0.5469911336958626 -0.4558259447465522 0.009116518894931045 0.0 0.0 0.0 0.0 0.0 0.0 
0.7021563 0.3143105366339523 0.27938714367462425 0.24446375071529622 0.2095403577559682 -0.17461696479664016 0.003492339295932803 0.820486700543794 0.7293215115944834 0.6381563226451731 0.5469911336958626 -0.4558259447465522 0.009116518894931045 0.0 0.0 0.0 0.0 0.0 0.0 
0.7101563 0.3208744302383027 0.2852217157673801 0.24956900129645762 0.2139162868255351 -0.17826357235461257 0.0035652714470922517 0.820486700543794 0.7293215115944834 0.6381563226451731 0.5469911336958626 -0.4558259447465522 0.009116518894931045 0.0 0.0 0.0 0.0 0.0 0.0 
0.71815634 0.32743832384265303 0.291056287860136 0.254674251877619 0.218292215895102 -0.18191017991258498 0.0036382035982517004 0.820486700543794 0.7293215115944834 0.6381563226451731 0.5469911336958626 -0.4558259447465522 0.009116518894931045 0.0 0.0 0.0 0.0 0.0 0.0 
0.7261563 0.3340022174470034 0.29689085995289183 0.2597795024587804 0.2226681449646689 -0.18555678747055743 0.0037111357494111485 0.820486700543794 0.7293215115944834 0.6381563226451731 0.5469911336958626 -0.4558259447465522 0.009116518894931045 0.0 0.0 0.0 0.0 0.0 0.0 
0.7341563 0.34056611105135376 0.3027254320456477 0.2648847530399418 0.22704407403423582 -0.18920339502852984 0.0037840679005705967 0.820486700543794 0.7293215115944834 0.6381563226451731 0.5469911336958626 -0.4558259447465522 0.009116518894931045 0.0 0.0 0.0 0.0 0.0 0.0 
0.7421563 0.3471300046557041 0.30856000413840357 0.26999000362110315 0.2314200031038027 -0.19285000258650226 0.0038570000517300453 0.820486700543794 0.7293215115944834 0.6381563226451731 0.5469911336958626 -0.4558259447465522 0.009116518894931045 0.0 0.0 0.0 0.0 0.0 0.0 
0.75015634 0.3536938982600545 0.31439457623115946 0.27509525420226455 0.2357959321733696 -0.19649661014447467 0.003929932202889494 0.820486700543794 0.7293215115944834 0.6381563226451731 0.5469911336958626 -0.4558259447465522 0.009116518894931045 0.0 0.0 0.0 0.0 0.0 0.0 
