timestamp target_q_0 target_qd_0 target_qdd_0
1.8708571 -0.011390612509181164 1.04 0.0 
1.8788571 -0.0030706125091810588 1.04 0.0 
1.8868572 0.005249387490818824 1.04 0.0 
1.8948572 0.01356938749081893 1.04 0.0 
1.9028572 0.021889387490818812 1.04 0.0 
1.9108572 0.030209387490818917 1.04 0.0 
1.9188571 0.03852938749081902 1.04 0.0 
1.9268571 0.046849387490818906 1.04 0.0 
1.9348571 0.05516938749081901 1.04 0.0 
1.9428571 0.0634893874908189 1.04 0.0 
1.9508572 0.071809387490819 1.04 0.0 
1.9588572 0.08012938749081888 1.04 0.0 
1.9668572 0.08844938749081899 1.04 0.0 
1.9748571 0.09676938749081887 1.04 0.0 
1.9828571 0.10508938749081898 1.04 0.0 
1.9908571 0.11340938749081908 1.04 0.0 
1.9988571 0.12172938749081896 1.04 0.0 
2.0068572 0.13004938749081907 1.04 0.0 
2.014857 0.13836938749081895 1.04 0.0 
2.0228572 0.14668938749081906 1.04 0.0 
2.030857 0.15500938749081894 1.04 0.0 
2.0388572 0.16332938749081904 1.04 0.0 
2.046857 0.17164938749081893 1.04 0.0 
2.0548573 0.17996938749081903 1.04 0.0 
2.0628572 0.18828938749081914 1.04 0.0 
2.070857 0.19660938749081902 1.04 0.0 
2.0788572 0.20492938749081913 1.04 0.0 
2.086857 0.213249387490819 1.04 0.0 
2.0948572 0.22156938749081911 1.04 0.0 
2.102857 0.229889387490819 1.04 0.0 
2.1108572 0.2382093874908191 1.04 0.0 
2.1188571 0.2465293874908192 1.04 0.0 
2.126857 0.2548493874908191 1.04 0.0 
2.1348572 0.2631693874908192 1.04 0.0 
2.142857 0.2714893874908191 1.04 0.0 
2.1508572 0.2798093874908192 1.04 0.0 
2.158857 0.28812938749081907 1.04 0.0 
2.1668572 0.29644938749081917 1.04 0.0 
2.1748571 0.30476938749081905 1.04 0.0 
2.182857 0.31308938749081916 1.04 0.0 
2.1908572 0.32140938749081926 1.04 0.0 
2.198857 0.32972938749081915 1.04 0.0 
2.2068572 0.33804938749081925 1.04 0.0 
2.214857 0.34636938749081914 1.04 0.0 
2.2228572 0.35468938749081924 1.04 0.0 
2.2308571 0.3630093874908191 1.04 0.0 
2.238857 0.37132938749081923 1.04 0.0 
2.2468572 0.37964938749081933 1.04 0.0 
2.254857 0.3879693874908192 1.04 0.0 
2.2628572 0.3962893874908193 1.04 0.0 
2.270857 0.4046093874908192 1.04 0.0 
2.2788572 0.4129293874908193 1.04 0.0 
